bitstring,expectation,penalty,valid
010 10 00,0.5,0.5,False
010 10 01,0.5,0.5,False
010 11 00,-1.25,0.5,True
010 11 01,2.75,0.5,False
011 10 00,3.5,0.5,False
011 10 01,-0.5,0.5,True
011 11 00,-0.25,0.5,False
011 11 01,-0.25,0.5,False
010 10 10,4.5,0.5,False
010 10 11,4.5,0.5,False
010 11 10,2.75,0.5,False
010 11 11,6.75,0.5,False
011 10 10,7.5,0.5,False
011 10 11,3.5,0.5,False
011 11 10,3.75,0.5,False
011 11 11,3.75,0.5,False
100 00 00,1.0,0.5,False
100 00 01,5.0,0.5,False
100 01 00,1.25,0.5,False
100 01 01,9.25,0.5,False
101 00 00,2.0,0.5,False
101 00 01,2.0,0.5,False
101 01 00,0.25,0.5,False
101 01 01,4.25,0.5,False
100 00 10,1.0,0.5,False
100 00 11,5.0,0.5,False
100 01 10,1.25,0.5,False
100 01 11,9.25,0.5,False
101 00 10,2.0,0.5,False
101 00 11,2.0,0.5,False
101 01 10,0.25,0.5,False
101 01 11,4.25,0.5,False
100 10 00,-0.5,0.5,True
100 10 01,3.5,0.5,False
100 11 00,-0.25,0.5,False
100 11 01,7.75,0.5,False
101 10 00,0.5,0.5,False
101 10 01,0.5,0.5,False
101 11 00,-1.25,0.5,True
101 11 01,2.75,0.5,False
100 10 10,3.5,0.5,False
100 10 11,7.5,0.5,False
100 11 10,3.75,0.5,False
100 11 11,11.75,0.5,False
101 10 10,4.5,0.5,False
101 10 11,4.5,0.5,False
101 11 10,2.75,0.5,False
101 11 11,6.75,0.5,False
110 00 00,5.0,0.5,False
110 00 01,5.0,0.5,False
110 01 00,3.25,0.5,False
110 01 01,7.25,0.5,False
111 00 00,8.0,0.5,False
111 00 01,4.0,0.5,False
111 01 00,4.25,0.5,False
111 01 01,4.25,0.5,False
110 00 10,1.0,0.5,False
110 00 11,1.0,0.5,False
110 01 10,-0.75,0.5,True
110 01 11,3.25,0.5,False
111 00 10,4.0,0.5,False
111 00 11,0.0,0.5,True
111 01 10,0.25,0.5,False
111 01 11,0.25,0.5,False
110 10 00,1.5,0.5,False
110 10 01,1.5,0.5,False
110 11 00,-0.25,0.5,False
110 11 01,3.75,0.5,False
111 10 00,4.5,0.5,False
111 10 01,0.5,0.5,False
111 11 00,0.75,0.5,False
111 11 01,0.75,0.5,False
110 10 10,1.5,0.5,False
110 10 11,1.5,0.5,False
110 11 10,-0.25,0.5,False
110 11 11,3.75,0.5,False
111 10 10,4.5,0.5,False
111 10 11,0.5,0.5,False
111 11 10,0.75,0.5,False
111 11 11,0.75,0.5,False
000 00 00,0.0,1,True
000 00 01,4.0,1,False
000 01 00,1.0,1,False
000 01 01,9.0,1,False
001 00 00,1.0,1,False
001 00 01,1.0,1,False
001 01 00,0.0,1,True
001 01 01,4.0,1,False
000 00 10,4.0,1,False
000 00 11,8.0,1,False
000 01 10,5.0,1,False
