bitstring,expectation,penalty,valid
001 00 01,1.0,5,False
001 01 00,24.0,5,True
001 01 01,28.0,5,False
000 00 10,4.0,5,False
000 00 11,8.0,5,False
000 01 10,29.0,5,False
000 01 11,37.0,5,False
001 00 10,5.0,5,False
001 00 11,5.0,5,False
001 01 10,28.0,5,False
001 01 11,32.0,5,False
000 10 00,5.0,5,False
000 10 01,9.0,5,False
000 11 00,30.0,5,False
000 11 01,38.0,5,False
001 10 00,6.0,5,False
001 10 01,6.0,5,False
001 11 00,29.0,5,False
001 11 01,33.0,5,False
000 10 10,13.0,5,False
000 10 11,17.0,5,False
000 11 10,38.0,5,False
000 11 11,46.0,5,False
001 10 10,14.0,5,False
001 10 11,14.0,5,False
001 11 10,37.0,5,False
001 11 11,41.0,5,False
010 00 00,2.0,5,False
010 00 01,2.0,5,False
010 01 00,25.0,5,False
010 01 01,29.0,5,False
011 00 00,5.0,5,False
011 00 01,1.0,5,False
011 01 00,26.0,5,False
011 01 01,26.0,5,False
010 00 10,2.0,5,False
010 00 11,2.0,5,False
010 01 10,25.0,5,False
010 01 11,29.0,5,False
011 00 10,5.0,5,False
011 00 11,1.0,5,False
011 01 10,26.0,5,False
011 01 11,26.0,5,False
010 10 00,5.0,5,False
010 10 01,5.0,5,False
010 11 00,28.0,5,True
010 11 01,32.0,5,False
011 10 00,8.0,5,False
011 10 01,4.0,5,True
011 11 00,29.0,5,False
011 11 01,29.0,5,False
010 10 10,9.0,5,False
010 10 11,9.0,5,False
010 11 10,32.0,5,False
010 11 11,36.0,5,False
011 10 10,12.0,5,False
011 10 11,8.0,5,False
011 11 10,33.0,5,False
011 11 11,33.0,5,False
100 00 00,1.0,5,False
100 00 01,5.0,5,False
100 01 00,26.0,5,False
100 01 01,34.0,5,False
101 00 00,2.0,5,False
101 00 01,2.0,5,False
101 01 00,25.0,5,False
101 01 01,29.0,5,False
100 00 10,1.0,5,False
100 00 11,5.0,5,False
100 01 10,26.0,5,False
100 01 11,34.0,5,False
101 00 10,2.0,5,False
101 00 11,2.0,5,False
101 01 10,25.0,5,False
101 01 11,29.0,5,False
100 10 00,4.0,5,True
100 10 01,8.0,5,False
100 11 00,29.0,5,False
100 11 01,37.0,5,False
101 10 00,5.0,5,False
101 10 01,5.0,5,False
101 11 00,28.0,5,True
101 11 01,32.0,5,False
100 10 10,8.0,5,False
100 10 11,12.0,5,False
100 11 10,33.0,5,False
100 11 11,41.0,5,False
101 10 10,9.0,5,False
101 10 11,9.0,5,False
101 11 10,32.0,5,False
101 11 11,36.0,5,False
110 00 00,5.0,5,False
110 00 01,5.0,5,False
110 01 00,28.0,5,False
110 01 01,32.0,5,False
111 00 00,8.0,5,False
111 00 01,4.0,5,False
111 01 00,29.0,5,False
111 01 01,29.0,5,False
110 00 10,1.0,5,False
110 00 11,1.0,5,False
110 01 10,24.0,5,True
110 01 11,28.0,5,False
111 00 10,4.0,5,False
111 00 11,0.0,5,True
111 01 10,25.0,5,False
111 01 11,25.0,5,False
110 10 00,6.0,5,False
110 10 01,6.0,5,False
110 11 00,29.0,5,False
110 11 01,33.0,5,False
111 10 00,9.0,5,False
111 10 01,5.0,5,False
111 11 00,30.0,5,False
111 11 01,30.0,5,False
110 10 10,6.0,5,False
110 10 11,6.0,5,False
110 11 10,29.0,5,False
110 11 11,33.0,5,False
111 10 10,9.0,5,False
111 10 11,5.0,5,False
111 11 10,30.0,5,False
111 11 11,30.0,5,False
000 00 00,0.0,6,True
000 00 01,4.0,6,False
000 01 00,36.0,6,False
000 01 01,44.0,6,False
001 00 00,1.0,6,False
001 00 01,1.0,6,False
001 01 00,35.0,6,True
001 01 01,39.0,6,False
000 00 10,4.0,6,False
000 00 11,8.0,6,False
000 01 10,40.0,6,False
000 01 11,48.0,6,False
001 00 10,5.0,6,False
001 00 11,5.0,6,False
001 01 10,39.0,6,False
001 01 11,43.0,6,False
000 10 00,6.0,6,False
000 10 01,10.0,6,False
000 11 00,42.0,6,False
000 11 01,50.0,6,False
001 10 00,7.0,6,False
001 10 01,7.0,6,False
001 11 00,41.0,6,False
001 11 01,45.0,6,False
000 10 10,14.0,6,False
000 10 11,18.0,6,False
000 11 10,50.0,6,False
000 11 11,58.0,6,False
001 10 10,15.0,6,False
001 10 11,15.0,6,False
001 11 10,49.0,6,False
001 11 11,53.0,6,False
010 00 00,2.0,6,False
010 00 01,2.0,6,False
010 01 00,36.0,6,False
010 01 01,40.0,6,False
011 00 00,5.0,6,False
011 00 01,1.0,6,False
011 01 00,37.0,6,False
011 01 01,37.0,6,False
010 00 10,2.0,6,False
010 00 11,2.0,6,False
010 01 10,36.0,6,False
010 01 11,40.0,6,False
011 00 10,5.0,6,False
011 00 11,1.0,6,False
011 01 10,37.0,6,False
011 01 11,37.0,6,False
010 10 00,6.0,6,False
010 10 01,6.0,6,False
